LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_NCDD@BEEP,DEFECT@WAFER@CLASS_NCDD@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_NCDD@BLURRY_IMAGE,DEFECT@WAFER@CLASS_NCDD@DOME,DEFECT@WAFER@CLASS_NCDD@FALLEN_LINES,DEFECT@WAFER@CLASS_NCDD@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_NCDD@LARGE_PARTICLE,DEFECT@WAFER@CLASS_NCDD@MINI,DEFECT@WAFER@CLASS_NCDD@NVD_FALSE,DEFECT@WAFER@CLASS_NCDD@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_NCDD@PATTERN,DEFECT@WAFER@CLASS_NCDD@RESIDUE,DEFECT@WAFER@CLASS_NCDD@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_NCDD@SCRATCH,DEFECT@WAFER@CLASS_NCDD@SIZE_SMALL,DEFECT@WAFER@CLASS_NCDD@SMALL_PARTICLE,DEFECT@WAFER@CLASS_NCDD@UNCLASSIFIED,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT,DEFECT@WAFER@CLASS_EDI@BEEP,DEFECT@WAFER@CLASS_EDI@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_EDI@BLURRY_IMAGE,DEFECT@WAFER@CLASS_EDI@DOME,DEFECT@WAFER@CLASS_EDI@FALLEN_LINES,DEFECT@WAFER@CLASS_EDI@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_EDI@LARGE_PARTICLE,DEFECT@WAFER@CLASS_EDI@MINI,DEFECT@WAFER@CLASS_EDI@NVD_FALSE,DEFECT@WAFER@CLASS_EDI@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_EDI@PATTERN,DEFECT@WAFER@CLASS_EDI@RESIDUE,DEFECT@WAFER@CLASS_EDI@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_EDI@SCRATCH,DEFECT@WAFER@CLASS_EDI@SIZE_SMALL,DEFECT@WAFER@CLASS_EDI@SMALL_PARTICLE,DEFECT@WAFER@CLASS_EDI@WAFER_TOTAL
D603174,5,MCJ1W005WAG6,0,0,0,0.032258,0,0.003584,0,0,0.236557,0,0,0,0,0.007168,0.007168,0,,D6031740,PXMG,03/23/2026 4:26:12 AM,BPD436,8M6CL,8M6CL,06/30/2026 11:02:55 PM,8M6CL,D1D,1,7940868,,,,,,,,,,,,,,,,,
D603174,7,MCJ1W007WAA4,0,0,0,0.021505,0.003584,0,0,0,0.161289,0,0,0,0,0,0.003584,0,,D6031740,PXMG,03/23/2026 4:26:12 AM,BPD436,8M6CL,8M6CL,06/30/2026 5:45:35 PM,8M6CL,D1D,2,7940621,,,,,,,,,,,,,,,,,
D603173,7,MCK3J007WAD4,0.003584,0,0,0.057347,0,0.003584,0,0,0.093189,0,0,0,0,0,0.003584,0.003584,,D6031730,PXMG,04/01/2026 11:06:12 AM,BPD442,8M6CL,8M6CL,06/09/2026 1:07:14 AM,8M6CL,D1D,1,7940620,,,,,,,,,,,,,,,,,
D603173,17,MCK3J017WAA5,0,0,0,0.04301,0,0,0,0,0.039426,0,0,0,0,0,0.007168,0.014337,,D6031730,PXMG,04/01/2026 11:06:12 AM,BPD442,8M6CL,8M6CL,06/09/2026 10:32:20 AM,8M6CL,D1D,2,7940781,,,,,,,,,,,,,,,,,
D603173,69,MCK3J069WAC1,0.003584,0,0,0.04301,0,0.010753,0,0,0.1362,0,0,0,0,0,0.007168,0,,D6031730,PXMG,04/01/2026 11:06:12 AM,BPD442,8M6CL,8M6CL,06/09/2026 10:46:15 AM,8M6CL,D1D,3,7940850,,,,,,,,,,,,,,,,,
D603173,80,MCK3J080WAC3,0,0,0,0.028421,0,0,0,0,0.17408,0,0,0,0,0,0.007105,0,,D6031730,PXMG,04/01/2026 11:06:12 AM,BPD442,8M6CL,8M6CL,06/08/2026 8:45:46 PM,8M6CL,D1D,4,7940747,,,,,,,,,,,,,,,,,
D603173,197,MCK3J197WAG2,0,0,0,0.035842,0,0,0,0,0.082437,0,0,0,0,0,0.007168,0.003584,,D6031730,PXMG,04/01/2026 11:06:12 AM,BPD442,8M6CL,8M6CL,06/08/2026 11:26:09 PM,8M6CL,D1D,5,7940774,,,,,,,,,,,,,,,,,
D603155,304,GT7PS304JKD4,0,0,0,0,0.034613,0,0,0,0.069226,0,0.034613,0,0,0,0,0,,D6031550,PXMG,04/13/2026 7:55:27 PM,BPD446,8M6CL,8M6CL,06/21/2026 11:38:43 AM,8M6CL,D1D,1,7944964,,,,,,,,,,,,,,,,,
D603155,305,GT7PS305JKA3,0,0,0,0.032258,0,0,0,0,0.064516,0,0,0,0.003584,0.003584,0,0,,D6031550,PXMG,04/13/2026 7:55:27 PM,BPD446,8M6CL,8M6CL,06/21/2026 7:42:13 AM,8M6CL,D1D,2,7944820,,,,,,,,,,,,,,,,,
D603155,331,GT7PS331JKE2,0,0,0,0.007168,0,0,0,0,0.082437,0,0,0,0.003584,0,0,0,,D6031550,PXMG,04/13/2026 7:55:27 PM,BPD446,8M6CL,8M6CL,06/21/2026 7:57:24 AM,8M6CL,D1D,3,7944881,,,,,,,,,,,,,,,,,
D603155,334,GT7PS334JKC2,0,0,0,0.010658,0,0,0,0,0.085264,0,0,0,0,0,0,0.003553,,D6031550,PXMG,04/13/2026 7:55:27 PM,BPD446,8M6CL,8M6CL,06/21/2026 2:52:44 PM,8M6CL,D1D,4,7944985,,,,,,,,,,,,,,,,,
D604219,594,KJ9HF594WFF0,0,0,0,0.024869,0.003553,0,0,0,0.241581,0,0,0,0,0,0,0,,D6042190,PXMG,04/17/2026 10:00:55 AM,BPD454,8M6CL,8M6CL,06/17/2026 4:32:26 AM,8M6CL,D1D,1,7968634,,,,,,,,,,,,,,,,,
D604219,595,KJ9HF595WFB7,0,0,0,0.028674,0,0,0,0,0.218636,0,0,0,0.003584,0.003584,0,0,,D6042190,PXMG,04/17/2026 10:00:55 AM,BPD454,8M6CL,8M6CL,06/17/2026 8:25:07 PM,8M6CL,D1D,2,7968767,,,,,,,,,,,,,,,,,
D603167,58,KJ7YR058WFB1,0,0,0,0.007105,0,0.003553,0,0,0.127896,0,0,0,0.003553,0.003553,0.021316,0,,D6031670,PXMG,04/18/2026 1:50:07 AM,BPD432,8M6CL,8M6CL,07/20/2026 10:19:11 PM,8M6CL,D1D,1,7942572,,,,,,,,,,,,,,,,,
D603167,249,KJ7YN249WFF0,0,0,0,0.028674,0.003584,0,0,0,0.129031,0,0,0,0,0.003584,0.003584,0,,D6031670,PXMG,04/18/2026 1:50:07 AM,BPD432,8M6CL,8M6CL,08/09/2026 8:22:46 PM,8M6CL,D1D,2,7942550,,,,,,,,,,,,,,,,,
D603185,30,KJ7YR030WFC3,0,0,0,0.024869,0,0,0,0,0.206054,0,0.003553,0,0.007105,0,0.010658,0,,D6031850,PXMG,04/15/2026 12:48:17 PM,BPD446,8M6CL,8M6CL,04/16/2026 8:19:36 AM,8M6CL,D1D,1,7938479,,,,,,,,,,,,,,,,,
D603185,55,KJ7YR055WFD1,0,0,0,0.007168,0,0,0,0,0.118279,0,0,0,0.010753,0,0.014337,0.003584,,D6031850,PXMG,04/15/2026 12:48:17 PM,BPD446,8M6CL,8M6CL,04/16/2026 8:19:16 AM,8M6CL,D1D,2,7938525,,,,,,,,,,,,,,,,,
D604217,144,KJ97L144WFD5,0,0,0,0.010658,0.003553,0,0,0,0.120791,0,0,0,0.007105,0.003553,0.003553,0.010658,,D6042170,PXMG,04/20/2026 5:18:13 PM,BPD432,8M6CL,8M6CL,07/06/2026 2:37:33 AM,8M6CL,D1D,1,7968553,,,,,,,,,,,,,,,,,
D604217,149,KJ7YT149WFA6,0,0,0,0.017921,0.003584,0,0,0,0.071684,0,0,0.003584,0.010753,0.003584,0.017921,0,,D6042170,PXMG,04/20/2026 5:18:13 PM,BPD432,8M6CL,8M6CL,07/06/2026 8:13:51 PM,8M6CL,D1D,2,7968478,,,,,,,,,,,,,,,,,
D603178,547,GS5VN547JKA3,0,0,0,0.017921,0,0,0,0,0.193547,0,0,0,0.010753,0,0,0,,D6031780,PXMG,04/20/2026 6:30:24 PM,BPD448,8M6CL,8M6CL,07/03/2026 9:51:29 AM,8M6CL,D1D,1,7938276,,,,,,,,,,,,,,,,,
D603178,555,GS7FG555JKB1,0,0,0,0.007168,0.003584,0,0,0,0.200715,0,0,0,0,0,0,0,,D6031780,PXMG,04/20/2026 6:30:24 PM,BPD448,8M6CL,8M6CL,07/03/2026 2:51:38 AM,8M6CL,D1D,2,7938248,,,,,,,,,,,,,,,,,
D603178,560,GS7FG560JKG4,0,0,0,0.035527,0,0,0,0,0.209607,0,0,0,0.007105,0,0.024869,0,,D6031780,PXMG,04/20/2026 6:30:24 PM,BPD448,8M6CL,8M6CL,07/03/2026 4:45:48 PM,8M6CL,D1D,3,7938378,,,,,,,,,,,,,,,,,
D603178,568,GS7FG568JKD5,0.003553,0,0,0.007105,0,0,0,0,0.195396,0,0,0,0,0,0.003553,0,,D6031780,PXMG,04/20/2026 6:30:24 PM,BPD448,8M6CL,8M6CL,07/03/2026 9:38:15 AM,8M6CL,D1D,4,7938260,,,,,,,,,,,,,,,,,
D604216,458,KJ94L458WFG1,0.003553,0,0,0.017763,0.003553,0,0,0,0.142107,0,0,0,0.003553,0.003553,0.007105,0,,D6042160,PXMG,04/20/2026 9:07:33 PM,BPD446,8M6CL,8M6CL,07/05/2026 9:03:13 AM,8M6CL,D1D,1,7968490,,,,,,,,,,,,,,,,,
D604216,523,KJ94L523WFA0,0,0,0,0.060931,0,0,0,0,0.093189,0,0,0,0,0.007168,0.007168,0,,D6042160,PXMG,04/20/2026 9:07:33 PM,BPD446,8M6CL,8M6CL,07/03/2026 12:39:22 AM,8M6CL,D1D,2,7968444,,,,,,,,,,,,,,,,,
D604213,48,GT3FY048JKF7,0.003584,0,0,0.010751,0,0,0,0,0.186345,0,0,0,0.003584,0.003584,0,0.003584,,D6042130,PNCB,04/21/2026 1:32:44 AM,BPD458,8M6CL,8M6CL,06/20/2026 3:24:00 PM,8M6CL,D1D,1,7972496,,,,,,,,,,,,,,,,,
