LOT,WAFER,WAFER_ID,DEFECT@WAFER@CLASS_NCDD@BEEP,DEFECT@WAFER@CLASS_NCDD@BLOCKED_HM_ETCH,DEFECT@WAFER@CLASS_NCDD@BLOCKED_TRENCH,DEFECT@WAFER@CLASS_NCDD@BLURRY_IMAGE,DEFECT@WAFER@CLASS_NCDD@BROKEN_PATTERN,DEFECT@WAFER@CLASS_NCDD@DENT,DEFECT@WAFER@CLASS_NCDD@DOME,DEFECT@WAFER@CLASS_NCDD@FALLEN_LINES,DEFECT@WAFER@CLASS_NCDD@ILD_HOLE_TEAROUT,DEFECT@WAFER@CLASS_NCDD@LARGE_PARTICLE,DEFECT@WAFER@CLASS_NCDD@MINI,DEFECT@WAFER@CLASS_NCDD@NVD_FALSE,DEFECT@WAFER@CLASS_NCDD@OTHER_UNKNOWN,DEFECT@WAFER@CLASS_NCDD@PATTERN,DEFECT@WAFER@CLASS_NCDD@RESIDUE,DEFECT@WAFER@CLASS_NCDD@ROUNDMOUND_BEEP,DEFECT@WAFER@CLASS_NCDD@SCRATCH,DEFECT@WAFER@CLASS_NCDD@SIZE_SMALL,DEFECT@WAFER@CLASS_NCDD@SMALL_PARTICLE,DEFECT@WAFER@CLASS_NCDD@UNCLASSIFIED,ACTUAL_LOT@DEFECT,DEVICE@DEFECT,INSPECTION_TIME@DEFECT,INSPECTION_TOOL@DEFECT,LAYER,LAYER@DEFECT,LOAD_DATE@DEFECT,RECIPE@DEFECT,SITE@DEFECT,WAFER_ID_ORDER@DEFECT,WAFER_KEY@DEFECT
D524896,3,KHUHH003WFC5,0,0,0,0,0,0,0,0,0,0,0,0.117804,0,0,0,0.022088,0.003681,0.011044,0.003681,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:04:31 PM,8M5CL,D1D,1,6864005
D524896,32,KHUHH032WFE4,0,0,0,0,0,0,0.003681,0,0,0,0,0.147255,0,0,0,0.007363,0.007363,0.044177,0,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:56:55 PM,8M5CL,D1D,2,6864026
D524896,33,KHUHH033WFB3,0,0,0,0,0,0,0,0,0.007363,0,0,0.10676,0,0,0,0.007363,0,0.066265,0,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:19:16 PM,8M5CL,D1D,3,6863842
D524896,34,KHUHH034WFF5,0,0,0,0,0,0,0.003681,0.007363,0,0,0,0.150937,0,0,0,0,0,0.014726,0,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:28:00 PM,8M5CL,D1D,4,6863869
D524896,45,KHUHH045WFH0,0,0,0,0,0,0,0,0,0,0,0,0.092035,0,0.003681,0,0,0.003681,0.069946,0,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:20:52 PM,8M5CL,D1D,5,6863876
D524896,56,KHUHH056WFB0,0,0,0,0,0,0,0.007363,0,0,0,0,0.169344,0,0,0,0,0.011044,0.003681,0,,D5248960,PYZB,09/28/2025 11:08:22 AM,BPD434,8M5CL,8M5CL,05/23/2026 12:20:06 PM,8M5CL,D1D,6,6864021
D524163,17,KHT9M017WFB2,0,0,0,0,0,0,0.003692,0.003692,0.003692,0,0,0.635641,0,0.003692,0,0,0,0.028869,0,0,D5241630,PXMG,09/28/2025 6:25:25 PM,BPD458,8M5CL,8M5CL,02/15/2026 7:33:18 PM,8M5CL,D1D,1,6855591
D524163,57,KHT9M057WFE4,0,0,0,0,0,0,0,0,0,0,0,1.248344,0,0,0,0.011705,0,0.046822,0,0,D5241630,PXMG,09/28/2025 6:25:25 PM,BPD458,8M5CL,8M5CL,02/15/2026 7:30:35 PM,8M5CL,D1D,2,6855514
D527275,1,GN5DG001JKG5,0,0,0,0,0,0,0,0.010827,0,0,0,0.216549,0,0,0,0,0,0,0,,D5272750,PNCB,09/28/2025 11:37:46 PM,BPD444,8M5CL,8M5CL,02/15/2026 1:23:38 PM,8M5CL,D1D,1,6956163
D527275,2,GN5DG002JKD4,0,0,0,0,0,0,0,0,0.003584,0,0,0.200679,0,0,0,0.003584,0,0.007167,0.003584,,D5272750,PNCB,09/28/2025 11:37:46 PM,BPD444,8M5CL,8M5CL,02/15/2026 1:18:47 PM,8M5CL,D1D,2,6956139
